ID,Region,Year,Gini Index
1,Brasil,1991,0.6366
2,Ceará,1991,0.6474
3,Abaiara - CE,1991,0.4861
4,Acarapé - CE,1991,0.4412
5,Acaraú - CE,1991,0.5117
6,Acopiara - CE,1991,0.5689
7,Aiuaba - CE,1991,0.4853
8,Alcântaras - CE,1991,0.3488
9,Altaneira - CE,1991,0.5762
10,Alto Santo - CE,1991,0.4776
11,Amontada - CE,1991,0.4431
12,Antonina do Norte - CE,1991,0.5303
13,Apuiarés - CE,1991,0.4673
14,Aquiraz - CE,1991,0.4872
15,Aracati - CE,1991,0.5477
16,Aracoiaba - CE,1991,0.4931
17,Araripe - CE,1991,0.4429
18,Aratuba - CE,1991,0.4425
19,Arneiroz - CE,1991,0.4748
20,Assaré - CE,1991,0.5139
21,Aurora - CE,1991,0.5198
22,Baixio - CE,1991,0.5501
23,Banabuiú - CE,1991,0.4852
24,Barbalha - CE,1991,0.6061
25,Barreira - CE,1991,0.4754
26,Barro - CE,1991,0.508
27,Barroquinha - CE,1991,0.3637
28,Baturité - CE,1991,0.5453
29,Beberibe - CE,1991,0.4645
30,Bela Cruz - CE,1991,0.418
31,Boa Viagem - CE,1991,0.509
32,Brejo Santo - CE,1991,0.6098
33,Camocim - CE,1991,0.5212
34,Campos Sales - CE,1991,0.6031
35,Canindé - CE,1991,0.4773
36,Capistrano - CE,1991,0.4942
37,Caridade - CE,1991,0.4639
38,Cariré - CE,1991,0.438
39,Caririaçu - CE,1991,0.4899
40,Cariús - CE,1991,0.5537
41,Carnaubal - CE,1991,0.4952
42,Cascavel - CE,1991,0.5178
43,Catarina - CE,1991,0.4388
44,Caucaia - CE,1991,0.5137
45,Cedro - CE,1991,0.5479
46,Chaval - CE,1991,0.4504
47,Chorozinho - CE,1991,0.4717
48,Coreaú - CE,1991,0.4974
49,Crateús - CE,1991,0.5814
50,Crato - CE,1991,0.6536
51,Croatá - CE,1991,0.3914
52,Cruz - CE,1991,0.4194
53,Deputado Irapuan Pinheiro - CE,1991,0.4903
54,Ererê - CE,1991,0.4927
55,Eusébio - CE,1991,0.5736
56,Farias Brito - CE,1991,0.6062
57,Forquilha - CE,1991,0.423
58,Fortaleza - CE,1991,0.6545
59,Frecheirinha - CE,1991,0.5174
60,General Sampaio - CE,1991,0.5545
61,Graça - CE,1991,0.4019
62,Granja - CE,1991,0.4858
63,Granjeiro - CE,1991,0.6325
64,Groaíras - CE,1991,0.5256
65,Guaiúba - CE,1991,0.4689
66,Guaraciaba do Norte - CE,1991,0.5878
67,Guaramiranga - CE,1991,0.455
68,Hidrolândia - CE,1991,0.4277
69,Horizonte - CE,1991,0.4981
70,Ibaretama - CE,1991,0.3978
71,Ibiapina - CE,1991,0.5026
72,Ibicuitinga - CE,1991,0.6214
73,Icapuí - CE,1991,0.5193
74,Icó - CE,1991,0.5359
75,Iguatu - CE,1991,0.6098
76,Independência - CE,1991,0.5514
77,Ipaporanga - CE,1991,0.3943
78,Ipaumirim - CE,1991,0.6128
79,Ipu - CE,1991,0.5608
80,Ipueiras - CE,1991,0.4473
81,Iracema - CE,1991,0.5512
82,Irauçuba - CE,1991,0.479
83,Itaiçaba - CE,1991,0.4683
84,Itapagé - CE,1991,0.5554
85,Itapipoca - CE,1991,0.5274
86,Itapiúna - CE,1991,0.4534
87,Itarema - CE,1991,0.4833
88,Itatira - CE,1991,0.4142
89,Jaguaretama - CE,1991,0.4966
90,Jaguaribara - CE,1991,0.5722
91,Jaguaribe - CE,1991,0.5743
92,Jaguaruana - CE,1991,0.4512
93,Jardim - CE,1991,0.5055
94,Jati - CE,1991,0.5305
95,Juazeiro do Norte - CE,1991,0.5955
96,Jucás - CE,1991,0.5776
97,Lavras da Mangabeira - CE,1991,0.57
98,Limoeiro do Norte - CE,1991,0.5741
99,Madalena - CE,1991,0.5089
100,Maracanaú - CE,1991,0.4679
101,Maranguape - CE,1991,0.5211
102,Marco - CE,1991,0.4906
103,Martinópole - CE,1991,0.4328
104,Massapê - CE,1991,0.4506
105,Mauriti - CE,1991,0.5231
106,Meruoca - CE,1991,0.4439
107,Milagres - CE,1991,0.5552
108,Milhã - CE,1991,0.37
109,Miraíma - CE,1991,0.3886
110,Missão Velha - CE,1991,0.5307
111,Mombaça - CE,1991,0.5913
112,Monsenhor Tabosa - CE,1991,0.5153
113,Morada Nova - CE,1991,0.5155
114,Moraújo - CE,1991,0.4309
115,Morrinhos - CE,1991,0.406
116,Mucambo - CE,1991,0.4255
117,Mulungu - CE,1991,0.5423
118,Nova Olinda - CE,1991,0.5295
119,Nova Russas - CE,1991,0.5671
120,Novo Oriente - CE,1991,0.5126
121,Ocara - CE,1991,0.4324
122,Orós - CE,1991,0.5263
123,Pacajus - CE,1991,0.5141
124,Pacatuba - CE,1991,0.4405
125,Pacoti - CE,1991,0.5103
126,Pacujá - CE,1991,0.4959
127,Palhano - CE,1991,0.484
128,Palmácia - CE,1991,0.5194
129,Paracuru - CE,1991,0.5165
130,Paraipaba - CE,1991,0.5786
131,Parambu - CE,1991,0.4762
132,Paramoti - CE,1991,0.4305
133,Pedra Branca - CE,1991,0.486
134,Penaforte - CE,1991,0.5482
135,Pentecoste - CE,1991,0.5217
136,Pereiro - CE,1991,0.5324
137,Pindoretama - CE,1991,0.5201
138,Piquet Carneiro - CE,1991,0.5507
139,Pires Ferreira - CE,1991,0.3682
140,Poranga - CE,1991,0.4703
141,Porteiras - CE,1991,0.5107
142,Potengi - CE,1991,0.5221
143,Potiretama - CE,1991,0.5196
144,Quiterianópolis - CE,1991,0.4295
145,Quixadá - CE,1991,0.583
146,Quixelô - CE,1991,0.5954
147,Quixeramobim - CE,1991,0.5331
148,Quixeré - CE,1991,0.4854
149,Redenção - CE,1991,0.4923
150,Reriutaba - CE,1991,0.4983
151,Russas - CE,1991,0.5392
152,Saboeiro - CE,1991,0.4896
153,Salitre - CE,1991,0.4938
154,Santa Quitéria - CE,1991,0.5297
155,Santana do Acaraú - CE,1991,0.4212
156,Santana do Cariri - CE,1991,0.4787
157,São Benedito - CE,1991,0.5777
158,São Gonçalo do Amarante - CE,1991,0.4863
159,São João do Jaguaribe - CE,1991,0.5408
160,São Luís do Curu - CE,1991,0.4867
161,Senador Pompeu - CE,1991,0.5576
162,Senador Sá - CE,1991,0.344
163,Sobral - CE,1991,0.6119
164,Solonópole - CE,1991,0.5238
165,Tabuleiro do Norte - CE,1991,0.5726
